n	MAE	RMSE	R2	pearson	spearman	cancer_type	train_n	selected_features	nonzero_coefficients	alpha	lambda	null_MAE	abstention_rate
77	9.87060127236155	11.7722408020899	-0.322231529883763	0.579187641045595	0.590034018346959	ACC	6988	5000	488	0.1	2.33791984925316	11.1736000118942	0.012987012987013
388	11.1057793058705	13.8376432784612	0.3196922990073	0.581561484117663	0.57710998062617	BLCA	6677	5000	297	0.1	3.88735363668871	15.2913285953164	0.00515463917525773
743	11.5971253480135	15.6148608236559	0.349886326473398	0.62606648207325	0.647358510210062	BRCA	6322	5000	441	0.1	2.43329424136485	14.958447566936	0.00134589502018843
290	9.68831269672472	12.0121015766533	0.034442101511122	0.461106480859232	0.475909398801742	CESC	6775	5000	372	0.1	3.15253111522332	9.42223794375875	0.00344827586206897
35	8.04699274420937	9.8100709384458	-0.0406486898314014	0.235764534967443	-0.0657213405250414	CHOL	7030	5000	454	0.1	2.5754160873296	7.94740499898395	0
278	7.96451785132547	9.45396777642393	0.0892376427935426	0.529908048290109	0.527206251270772	COAD	6787	5000	400	0.1	2.7925054363773	9.99492258263523	0
47	6.83365721991757	8.61697077897611	0.158182558553236	0.51987949088537	0.407108619243251	DLBC	7018	5000	459	0.1	2.56625902290348	7.79518017499075	0
154	10.4618179626931	13.0864912802962	0.0917581102373485	0.463167462709689	0.427679368585273	ESCA	6911	5000	468	0.1	2.51567824285559	18.105590184667	0
509	9.33173728480633	11.5458692009436	0.271910662733498	0.60110449293145	0.606302017607061	HNSC	6556	5000	289	0.1	4.09715181180905	11.7503757861843	0
65	2.22093001555055	3.27918886945851	0.653473056262277	0.822576219816557	0.378423132716677	KICH	7000	5000	460	0.1	2.52965307798472	16.2587076923077	0
297	3.9290334794903	5.24155195870575	0.19607527828995	0.57726946024103	0.231172473960677	KIRC	6768	5000	441	0.1	2.72881989862636	13.3157655156769	0
262	4.44025679329083	5.47492043404789	-0.0268629960890754	0.574687071114558	0.319521565658356	KIRP	6803	5000	472	0.1	2.47661001108582	16.2059901727235	0.00381679389312977
355	8.57455629768337	10.2107725406588	0.0982075228988443	0.509370246121886	0.462576870371583	LIHC	6710	5000	321	0.1	3.65736884832544	8.67792615604206	0
394	8.82317337878689	11.6304606763195	0.394635469577405	0.674787237390084	0.670137156836802	LUAD	6671	5000	347	0.1	3.42626679560538	12.3200172425994	0
355	9.95550959031148	12.7186156078742	0.291470977949174	0.561631897380118	0.513036317046147	LUSC	6710	5000	384	0.1	2.99715042861047	19.1598018513465	0
78	6.48294300498931	8.44059214878561	0.337404630976472	0.605852854707085	0.622131443604382	MESO	6987	5000	456	0.1	2.56698837207029	8.53846153846154	0
10	13.5521188647983	19.6734123856252	-0.171970188932233	0.57887527420844	0.527272727272727	OV	7055	5000	416	0.1	2.80882838060734	23.2216158752658	0
143	7.74745085028972	9.53680446352254	0.275676002923682	0.529449338306567	0.57229041515203	PAAD	6922	5000	385	0.1	3.09913372796634	9.45736104404119	0
160	5.39595130874991	6.53391172275993	-0.51880062627379	0.0896904446680651	0.0634305539847651	PCPG	6905	5000	504	0.1	2.30654590902677	11.362929942071	0
387	5.85477426249288	7.74613708052168	0.384076020972579	0.626151416306818	0.602551555596232	PRAD	6678	5000	275	0.75	0.400620162460255	10.0276193262152	0
92	7.14165336054895	9.37002847376443	0.00624445465987245	0.291358893711218	0.292937497098702	READ	6973	5000	442	0.1	2.59579377637486	7.39015862425879	0.0108695652173913
213	18.0393752070903	22.6933853832602	-0.425513229055857	0.519672070141392	0.555334686875058	SARC	6852	5000	556	0.1	1.94899169675217	18.237187182249	0
104	12.3460880928359	14.5283628471062	-0.702879721969446	0.414597063855159	0.390266932731365	SKCM	6961	5000	375	0.1	3.10765291858855	8.38673433304234	0.00961538461538462
370	12.3843347863104	15.4813935945601	0.348195977941493	0.715199423130574	0.754336483568417	STAD	6695	5000	375	0.1	2.95178080968089	16.723199644753	0
149	7.23444633674618	8.79216038964556	-0.189225751278364	0.155196040342533	0.119613339043884	TGCT	6916	5000	449	0.1	2.6149737570139	6.94282783624006	0
464	8.09492126469148	8.54341203761473	-35.6776548669387	-0.0238302988157039	-0.0453639484318643	THCA	6601	5000	341	0.1	3.5553480684788	19.1024612911314	0
107	4.88229245924825	5.7760576467798	-0.429308182691096	0.500791447849035	0.503926890949213	THYM	6958	5000	466	0.1	2.54190791172323	15.3912795867327	0
403	13.956198116463	16.052101690862	0.218846743530729	0.698952619876747	0.669009744711205	UCEC	6662	5000	343	0.1	3.25921619401132	16.7428830454271	0.00248138957816377
56	11.259084223576	14.1925359706333	0.220241514460733	0.475133240052514	0.445610990730144	UCS	7009	5000	358	0.5	0.509268437341238	17.7885448301164	0
80	3.15750120909332	4.18259539225976	-0.140435619844732	0.365357889361759	0.319637402097044	UVM	6985	5000	420	0.1	2.82486918939098	13.1476288475304	0
