cancer_type	k	MAE	MAE_sd	n_eval
LUAD	5	9.92699060655636	1.45417280674278	389
LUAD	10	9.48806384717027	0.734045151056637	384
LUAD	20	9.30078193556706	0.558266389874327	374
LUSC	0	9.95550959031148		355
LUSC	3	11.6110028086216	2.03446922364062	352
LUSC	5	10.8452168980453	1.2606587799685	350
LUSC	10	10.4481577647852	0.652927827559435	345
LUSC	20	10.2525278190069	0.361308011023538	335
MESO	0	6.4829430049893		78
MESO	3	7.5540342307898	1.59790842598319	75
MESO	5	7.09940799413558	1.07474431368985	73
MESO	10	6.75716097982447	0.512605480899033	68
MESO	20	6.58104758593023	0.391478096224923	58
PAAD	0	7.74745085028972		143
PAAD	3	9.07958743671077	2.13053234455507	140
PAAD	5	8.18181037380351	0.875948128706501	138
PAAD	10	7.99484948874808	0.621059724405072	133
PAAD	20	7.79661679534812	0.359118836565696	123
PCPG	0	5.39595130874991		160
PCPG	3	5.34333462760308	0.817102477313324	157
PCPG	5	5.19434859399709	0.638859117955716	155
PCPG	10	4.97998058070805	0.322673759877857	150
PCPG	20	4.86715160224064	0.206112308285699	140
PRAD	0	5.85477426249288		387
PRAD	3	7.28007960577088	1.77219552756452	384
PRAD	5	6.63618730968155	1.10032981883543	382
PRAD	10	6.28181930564021	0.572436259117738	377
PRAD	20	6.09702572939532	0.322166990757285	367
READ	0	7.14165336054896		92
READ	3	8.47209440506278	2.12403993720922	89
READ	5	7.93935640520435	1.16526398188587	87
READ	10	7.63738705999751	0.673268882414395	82
READ	20	7.46047983999645	0.493312936365712	72
SARC	0	18.0393752070903		213
SARC	3	15.541726208369	2.8597329283656	210
SARC	5	14.6821625886038	1.50243907084261	208
SARC	10	14.2334719793267	0.828282594745245	203
SARC	20	13.9600012141998	0.452893664390469	193
SKCM	0	12.3460880928359		104
SKCM	3	9.20982792878705	1.77590784606977	101
SKCM	5	8.70394279035926	1.14111773045102	99
SKCM	10	8.30803835241533	0.657998751503302	94
SKCM	20	8.06647557876157	0.417095462921184	84
STAD	0	12.3843347863104		370
STAD	3	14.3275902430331	2.92203374450442	367
STAD	5	13.1785423946085	1.35192927818304	365
STAD	10	12.8291528933676	0.695900297877709	360
STAD	20	12.5882895103664	0.406672782725432	350
TGCT	0	7.23444633674619		149
TGCT	3	7.7421196402858	1.46924413758497	146
TGCT	5	7.3565537880928	0.939888802063307	144
TGCT	10	7.04043177778768	0.522939696667485	139
TGCT	20	6.90479763768417	0.304995546045358	129
THCA	0	8.09492126469148		464
THCA	3	2.54421641607256	0.499591453720057	461
THCA	5	2.44642259214639	0.360665267727223	459
THCA	10	2.33953816118115	0.190199787448484	454
THCA	20	2.28387842477519	0.116892495607935	444
THYM	0	4.88229245924825		107
THYM	3	3.87378848769152	0.966918186792292	104
THYM	5	3.74824336937293	0.905068806764625	102
THYM	10	3.43186217446368	0.415325135947098	97
THYM	20	3.29043277681777	0.231395649409686	87
UCEC	0	13.956198116463		403
UCEC	3	12.2307383650537	2.96894524366892	400
UCEC	5	11.161541299907	2.01197153457981	398
UCEC	10	10.7649004707913	1.19108684924326	393
UCEC	20	10.5069988311887	0.870758701409194	383
UCS	0	11.259084223576		56
UCS	3	12.9481787753301	2.31484349715625	53
UCS	5	12.1705982754792	1.13558923567744	51
UCS	10	11.9420536778445	0.886202316729461	46
UCS	20	11.8019486426052	0.835154930045093	36
UVM	0	3.15750120909332		80
UVM	3	3.78958857786366	0.766890408473571	77
UVM	5	3.519389709009	0.460575681306431	75
UVM	10	3.35060924576234	0.201069704968965	70
UVM	20	3.27568717963743	0.21183088044877	60
