cancer_type	k	MAE	MAE_sd	n_eval
ACC	0	9.87060127236155		77
ACC	3	7.97611678916139	1.58245390484094	74
ACC	5	7.6373927545295	1.18491639193611	72
ACC	10	7.28658266003663	0.849738503404602	67
ACC	20	7.05487564137584	0.520383523767194	57
BLCA	0	11.1057793058705		388
BLCA	3	12.6741007390467	2.59701783645839	385
BLCA	5	11.9418443491312	1.20441523200656	383
BLCA	10	11.5513792361755	0.913567681556331	378
BLCA	20	11.3198442837908	0.46371735658411	368
BRCA	0	11.5971253480135		743
BRCA	3	13.6133527493978	3.53582053354091	740
BRCA	5	13.1573755890131	2.2320836150123	738
BRCA	10	12.4302557842002	1.40348266835639	733
BRCA	20	12.3422097428038	1.02860925785098	723
CESC	0	9.68831269672472		290
CESC	3	9.71082065374615	2.15287699956389	287
CESC	5	9.18881556182256	1.31020693842201	285
CESC	10	8.80545921947335	0.781165408532567	280
CESC	20	8.52594012072125	0.416942680155168	270
CHOL	0	8.04699274420937		35
CHOL	3	9.3136118219355	1.44674252128095	32
CHOL	5	8.94696260679883	0.984384871018659	30
CHOL	10	8.6114313021571	0.716683614550362	25
CHOL	20	8.45901376200442	1.15274112277796	15
COAD	0	7.96451785132547		278
COAD	3	7.28194390644084	1.49091092889798	275
COAD	5	7.12228462484572	1.17061238345143	273
COAD	10	6.87759562226701	0.699552189701135	268
COAD	20	6.67737637691481	0.367431389037011	258
DLBC	0	6.83365721991757		47
DLBC	3	7.41371372898734	1.75111950229386	44
DLBC	5	6.81662090973947	0.81841035721725	42
DLBC	10	6.56749491324317	0.581997472028991	37
DLBC	20	6.52747680203811	0.688397752171777	27
ESCA	0	10.4618179626931		154
ESCA	3	11.4826570307913	2.14772824046536	151
ESCA	5	10.8231793452766	0.927531942047569	149
ESCA	10	10.5191051518527	0.720012853785504	144
ESCA	20	10.2680547330793	0.424774189292824	134
HNSC	0	9.33173728480633		509
HNSC	3	9.9063878653023	1.91399392298969	506
HNSC	5	9.40217463475856	1.18503469310988	504
HNSC	10	9.03792783353049	0.659030512582101	499
HNSC	20	8.81128322795472	0.338726650102204	489
KICH	0	2.22093001555055		65
KICH	3	2.84270241432485	0.677927980171644	62
KICH	5	2.65989018376639	0.431153523093834	60
KICH	10	2.53254052711384	0.308064096874782	55
KICH	20	2.40582859678875	0.245509276733439	45
KIRC	0	3.9290334794903		297
KIRC	3	4.79209471514602	1.24327550213534	294
KIRC	5	4.29280286540948	0.576369449984167	292
KIRC	10	4.11886990155797	0.312661129461125	287
KIRC	20	3.99683208148024	0.197529237483207	277
KIRP	0	4.44025679329083		262
KIRP	3	4.01533672745579	0.942923190765526	259
KIRP	5	3.8075329188003	0.510900178426426	257
KIRP	10	3.66391172390642	0.28311474198451	252
KIRP	20	3.57641389753328	0.18667195844271	242
LIHC	0	8.57455629768337		355
LIHC	3	8.69372104836258	1.84608708558485	352
LIHC	5	8.00622023558606	0.961000213861543	350
LIHC	10	7.7137703821599	0.555101906413607	345
LIHC	20	7.53907939213387	0.28756249169487	335
LUAD	0	8.82317337878688		394
LUAD	3	10.2178850222326	1.85249865719475	391
