cancer_type	n	r_A	r_B	rho_A	rho_B	MAE_A	MAE_B	bias_A	bias_B	MAE_null	d_r	d_rho	d_MAE	d_absbias
ACC	77	0.585160121164936	0.600430729285692	0.602658516318775	0.644881789061197	9.07515337417721	7.4396028385056	5.97391219317879	0.927349785879194	7.44577500421656	0.0152706081207552	0.0422232727424221	-1.63555053567161	-5.0465624072996
BLCA	388	0.675232873243859	0.629260681635722	0.684098519885349	0.631529196717584	9.90293515634725	10.0678646668329	-0.0261468427894817	-1.86993184789942	13.714741205229	-0.0459721916081378	-0.052569323167765	0.164929510485639	1.84378500510993
BRCA	743	0.632327594760089	0.672928241750279	0.666159535384665	0.711888809563151	13.1766430320929	10.3898595250504	4.96129283824449	-2.2656293052638	15.4708585650911	0.0406006469901901	0.0457292741784859	-2.78678350704256	-2.69566353298069
CESC	290	0.520440315693038	0.516314578806122	0.546036974433095	0.520834879472883	9.1410965499008	8.97267347117153	4.87953944880425	3.96526075178755	9.56860879904875	-0.00412573688691609	-0.0252020949602116	-0.168423078729264	-0.914278697016698
CHOL	35	0.161206171476645	0.197552311179264	-0.105322661097823	-0.119646543007127	8.56599066228869	8.2644593945528	0.0675526484982876	0.0864250776290088	6.98938775510204	0.0363461397026187	-0.0143238819093039	-0.301531267735889	0.0188724291307213
COAD	278	0.60067436323979	0.598161888639659	0.58752587092613	0.569244869602204	6.71641833675878	6.55246790369391	2.50672235691739	1.99268349272156	7.67284302054759	-0.00251247460013093	-0.0182810013239263	-0.163950433064875	-0.514038864195828
DLBC	47	0.554560263682328	0.563105250416694	0.453764320524363	0.51564390448157	6.52827955610159	7.2972743136495	2.49506215989961	4.37484513651251	7.03304662743323	0.00854498673436588	0.0618795839572067	0.768994757547914	1.8797829766129
ESCA	154	0.508140869707936	0.536883199911799	0.468255304252939	0.481454645606918	9.94901278617478	9.42821027204572	-3.45306495164529	-2.49189396518771	10.9851576994434	0.028742330203863	0.0131993413539789	-0.520802514129057	-0.961170986457581
HNSC	509	0.660639478829844	0.673798223503785	0.668422150625163	0.693694715157857	8.51081985980028	7.8444248352703	2.82408033971306	0.581756975303039	10.8600167515179	0.0131587446739413	0.0252725645326938	-0.666395024529979	-2.24232336441003
KICH	65	0.88805065148723	0.858894652000976	0.561989638946388	0.486834417564602	2.10209684331034	2.32946650748764	1.08791464156672	1.11801194126645	3.57727810650888	-0.0291559994862541	-0.075155221381786	0.227369664177301	0.0300972996997346
KIRC	297	0.598908391072696	0.61803635305228	0.269244557671103	0.306476999606887	4.33905232736636	4.3713505602098	-0.0736687197373773	0.200961389600293	3.63099003503044	0.0191279619795834	0.0372324419357842	0.0322982328434378	0.127292669862916
KIRP	262	0.547668460517202	0.420872329193485	0.302009947336704	0.153010623086961	3.50610609591093	4.99662298834239	0.853864155877253	2.71904241927171	3.67426140667793	-0.126796131323718	-0.148999324249743	1.49051689243146	1.86517826339445
LIHC	355	0.532644866815579	0.430862985013576	0.491094359891287	0.37191841602431	8.46086374297885	9.78155349325537	4.44665322281169	6.3443025524913	8.60138861337036	-0.101781881802002	-0.119175943866977	1.32068975027652	1.89764932967961
LUAD	394	0.720635662329177	0.719490752746574	0.716814767144305	0.706303011852505	8.33092754376104	8.57686354619845	0.622466475655495	0.911035184993419	11.9349377721663	-0.00114490958260338	-0.0105117552917996	0.245936002437407	0.288568709337924
LUSC	355	0.604798795209817	0.602528910403661	0.561041208007534	0.568026240052423	9.60486364675664	9.6307793856995	-0.192957038998508	-0.884126586862328	11.9335369966277	-0.00226988480615642	0.00698503204488843	0.0259157389428601	0.691169547863819
MESO	78	0.554768343401084	0.474475224703207	0.596632941194253	0.503462630476686	7.53298666305043	7.50536377848641	-2.10221561903369	-0.806615368627506	8.53846153846154	-0.0802931186978769	-0.0931703107175665	-0.0276228845640194	-1.29560025040619
OV	10	0.635738427408306	0.38538466911725	0.612121212121212	0.0303030303030303	12.405105372511	13.6887230524239	-7.45994240972913	-6.64176551266454	13.2	-0.250353758291056	-0.581818181818182	1.28361767991287	-0.818176897064589
PAAD	143	0.561924612776573	0.539394755690021	0.609852282553475	0.601018672495477	7.55839907774532	7.63058247640714	0.86298391358002	0.378298503641757	9.23125825223727	-0.0225298570865518	-0.00883361005799721	0.0721833986618217	-0.484685409938263
PCPG	160	0.109941307399206	-0.00774138234451645	0.082962693736021	-0.0203433703827596	9.09632498759223	6.0033523238412	8.29208001114601	1.73675526184651	4.2465625	-0.117682689743722	-0.103306064118781	-3.09297266375103	-6.5553247492995
PRAD	387	0.663966136367855	0.643925432880282	0.640139886212253	0.617688210204441	5.59028619297813	6.55993539825072	-1.25454820528958	2.67886779859994	7.70378382709373	-0.0200407034875736	-0.0224516760078126	0.969649205272596	1.42431959331036
READ	92	0.327443162209815	0.414249422488975	0.337013204830813	0.433811614520715	7.18333732876003	6.81388982926627	-0.641499605980472	0.140183201259006	6.77126654064272	0.0868062602791601	0.096798409689902	-0.369447499493765	-0.501316404721467
SARC	213	0.516598411713373	0.480345888313975	0.552995862900749	0.485733247875378	17.9899317224213	16.9565136265183	-15.4446557070974	-13.643533216584	15.8339394740902	-0.0362525233993981	-0.0672626150253711	-1.03341809590295	-1.80112249051343
SKCM	104	0.468327561840912	0.438122234643489	0.423964497634209	0.407932787675677	10.4041680879009	11.0284812664125	7.67007495849549	8.43002591746074	8.38979289940829	-0.0302053271974224	-0.016031709958532	0.624313178511621	0.759950958965251
