gene_set	signature_id	candidate_ids	expressed_ids	status
HRD_GENE_POSITIVE	ENSG00000128185	85359	85359	matched
HRD_GENE_POSITIVE	ENSG00000183914	146754	146754	matched
HRD_GENE_POSITIVE	ENSG00000179532	144132	144132	matched
HRD_GENE_POSITIVE	ENSG00000162999	142679	142679	matched
HRD_GENE_POSITIVE	ENSG00000291281	""	""	unmapped_annotation
HRD_GENE_POSITIVE	ENSG00000112242	1871	1871	matched
HRD_GENE_POSITIVE	ENSG00000172071	9451	9451	matched
HRD_GENE_POSITIVE	ENSG00000066322	64834	64834	matched
HRD_GENE_POSITIVE	ENSG00000087502	51290	51290	matched
HRD_GENE_POSITIVE	ENSG00000117419	79033	79033	matched
HRD_GENE_POSITIVE	ENSG00000188107	346007	346007	matched
HRD_GENE_POSITIVE	ENSG00000126218	2159	2159	matched
HRD_GENE_POSITIVE	ENSG00000198734	2153	2153	matched
HRD_GENE_POSITIVE	ENSG00000262919	92002	92002	matched
HRD_GENE_POSITIVE	ENSG00000140525	55215	55215	matched
HRD_GENE_POSITIVE	ENSG00000155034	80028	80028	matched
HRD_GENE_POSITIVE	ENSG00000112146	26268	26268	matched
HRD_GENE_POSITIVE	ENSG00000137166	116113	116113	matched
HRD_GENE_POSITIVE	ENSG00000117228	2633	2633	matched
HRD_GENE_POSITIVE	ENSG00000135968	9648	9648	matched
HRD_GENE_POSITIVE	ENSG00000240288	100126793	100126793	matched
HRD_GENE_POSITIVE	ENSG00000215045	392862	392862	matched
HRD_GENE_POSITIVE	ENSG00000115207	2976	2976	matched
HRD_GENE_POSITIVE	ENSG00000119041	9330	9330	matched
HRD_GENE_POSITIVE	ENSG00000138411	57520	57520	matched
HRD_GENE_POSITIVE	ENSG00000187837	3006	3006	matched
HRD_GENE_POSITIVE	ENSG00000158373	3017	3017	matched
HRD_GENE_POSITIVE	ENSG00000197903	85236	85236	matched
HRD_GENE_POSITIVE	ENSG00000233822	8341	8341	matched
HRD_GENE_POSITIVE	ENSG00000143452	84072	84072	matched
HRD_GENE_POSITIVE	ENSG00000197757	3223	3223	matched
HRD_GENE_POSITIVE	ENSG00000137142	347252	347252	matched
HRD_GENE_POSITIVE	ENSG00000170549	79192	""	not_in_expression_universe
HRD_GENE_POSITIVE	ENSG00000134504	284252	284252	matched
HRD_GENE_POSITIVE	ENSG00000243335	154881	154881	matched
HRD_GENE_POSITIVE	ENSG00000175224	9776	9776	matched
HRD_GENE_POSITIVE	ENSG00000101350	9371	9371	matched
HRD_GENE_POSITIVE	ENSG00000258647	""	""	unmapped_annotation
HRD_GENE_POSITIVE	ENSG00000270170	152217	152217	matched
HRD_GENE_POSITIVE	ENSG00000213468	286467	286467	matched
HRD_GENE_POSITIVE	ENSG00000248569	""	""	unmapped_annotation
HRD_GENE_POSITIVE	ENSG00000235919	645676	645676	matched
HRD_GENE_POSITIVE	ENSG00000070018	4040	4040	matched
HRD_GENE_POSITIVE	ENSG00000010626	10233	10233	matched
HRD_GENE_POSITIVE	ENSG00000146006	26045	26045	matched
HRD_GENE_POSITIVE	ENSG00000177383	64110	64110	matched
HRD_GENE_POSITIVE	ENSG00000104774	4125	4125	matched
HRD_GENE_POSITIVE	ENSG00000050748	5601	5601	matched
HRD_GENE_POSITIVE	ENSG00000139793	10150	10150	matched
HRD_GENE_POSITIVE	ENSG00000065833	4199	4199	matched
HRD_GENE_POSITIVE	ENSG00000159479	112950	112950	matched
HRD_GENE_POSITIVE	ENSG00000117899	23184	23184	matched
HRD_GENE_POSITIVE	ENSG00000188095	145873	145873	matched
HRD_GENE_POSITIVE	ENSG00000061987	23041	23041	matched
HRD_GENE_POSITIVE	ENSG00000259494	26589	26589	matched
HRD_GENE_POSITIVE	ENSG00000136522	57129	57129	matched
HRD_GENE_POSITIVE	ENSG00000181991	64963	64963	matched
HRD_GENE_POSITIVE	ENSG00000096080	55168	55168	matched
HRD_GENE_POSITIVE	ENSG00000136521	4711	4711	matched
HRD_GENE_POSITIVE	ENSG00000182768	51335	51335	matched
HRD_GENE_POSITIVE	ENSG00000187566	378884	378884	matched
HRD_GENE_POSITIVE	ENSG00000163623	4825	""	not_in_expression_universe
HRD_GENE_POSITIVE	ENSG00000144061	4867	4867	matched
HRD_GENE_POSITIVE	ENSG00000182446	55666	55666	matched
HRD_GENE_POSITIVE	ENSG00000111581	57122	57122	matched
HRD_GENE_POSITIVE	ENSG00000124657	26212	26212	matched
HRD_GENE_POSITIVE	ENSG00000091651	23594	23594	matched
HRD_GENE_POSITIVE	ENSG00000130703	9885;105369209	9885	matched
HRD_GENE_POSITIVE	ENSG00000088356	81572	81572	matched
HRD_GENE_POSITIVE	ENSG00000087157	9489	9489	matched
HRD_GENE_POSITIVE	ENSG00000107537	5264	5264	matched
HRD_GENE_POSITIVE	ENSG00000163746	57047	57047	matched
HRD_GENE_POSITIVE	ENSG00000101346	23509	23509	matched
HRD_GENE_POSITIVE	ENSG00000143442	23126	23126	matched
HRD_GENE_POSITIVE	ENSG00000128059	5471	5471	matched
HRD_GENE_POSITIVE	ENSG00000165501	122769	122769	matched
HRD_GENE_POSITIVE	ENSG00000173457	26472	26472	matched
HRD_GENE_POSITIVE	ENSG00000198901	9055	9055	matched
HRD_GENE_POSITIVE	ENSG00000101292	128674	""	not_in_expression_universe
HRD_GENE_POSITIVE	ENSG00000100902	5687	5687	matched
HRD_GENE_POSITIVE	ENSG00000197170	5718	5718	matched
HRD_GENE_POSITIVE	ENSG00000144407	5746	5746	matched
HRD_GENE_POSITIVE	ENSG00000162927	150962	150962	matched
HRD_GENE_POSITIVE	ENSG00000132155	5894	5894	matched
HRD_GENE_POSITIVE	ENSG00000173653	9986	9986	matched
HRD_GENE_POSITIVE	ENSG00000135945	51455	51455	matched
HRD_GENE_POSITIVE	ENSG00000164292	22836	22836	matched
HRD_GENE_POSITIVE	ENSG00000107018	6013	6013	matched
HRD_GENE_POSITIVE	ENSG00000241370	79897;202658	79897	matched
HRD_GENE_POSITIVE	ENSG00000131871	55829	55829	matched
HRD_GENE_POSITIVE	ENSG00000168137	55209	55209	matched
HRD_GENE_POSITIVE	ENSG00000125520	56731	56731	matched
HRD_GENE_POSITIVE	ENSG00000136052	84102	84102	matched
HRD_GENE_POSITIVE	ENSG00000167703	124935	124935	matched
HRD_GENE_POSITIVE	ENSG00000022567	57210	57210	matched
HRD_GENE_POSITIVE	ENSG00000003989	6542	6542	matched
HRD_GENE_POSITIVE	ENSG00000091482	23676	23676	matched
HRD_GENE_POSITIVE	ENSG00000135632	10322	10322	matched
HRD_GENE_POSITIVE	ENSG00000099940	9342	9342	matched
HRD_GENE_POSITIVE	ENSG00000144028	23020	23020	matched
HRD_GENE_POSITIVE	ENSG00000167088	6632	6632	matched
HRD_GENE_POSITIVE	ENSG00000129515	58533	58533	matched
HRD_GENE_POSITIVE	ENSG00000174015	220082	220082	matched
HRD_GENE_POSITIVE	ENSG00000277893	6716	6716	matched
HRD_GENE_POSITIVE	ENSG00000100883	6729	6729	matched
HRD_GENE_POSITIVE	ENSG00000131018	23345	23345	matched
HRD_GENE_POSITIVE	ENSG00000132718	23208	23208	matched
HRD_GENE_POSITIVE	ENSG00000130699	6874	6874	matched
HRD_GENE_POSITIVE	ENSG00000277925	7012	7012	matched
HRD_GENE_POSITIVE	ENSG00000072274	7037	7037	matched
HRD_GENE_POSITIVE	ENSG00000184277	80213	80213	matched
HRD_GENE_POSITIVE	ENSG00000100926	10548	10548	matched
HRD_GENE_POSITIVE	ENSG00000101337	9777	9777	matched
HRD_GENE_POSITIVE	ENSG00000075568	23505	23505	matched
HRD_GENE_POSITIVE	ENSG00000166575	65084	65084	matched
HRD_GENE_POSITIVE	ENSG00000134851	55858	55858	matched
HRD_GENE_POSITIVE	ENSG00000185873	132724	""	not_in_expression_universe
HRD_GENE_POSITIVE	ENSG00000117586	7292	7292	matched
HRD_GENE_POSITIVE	ENSG00000214736	100188893	100188893	matched
HRD_GENE_POSITIVE	ENSG00000007255	79090	79090	matched
HRD_GENE_POSITIVE	ENSG00000163462	80128	80128	matched
HRD_GENE_POSITIVE	ENSG00000183665	55039	55039	matched
HRD_GENE_POSITIVE	ENSG00000154743	80746	80746	matched
HRD_GENE_POSITIVE	ENSG00000048140	26262	26262	matched
HRD_GENE_POSITIVE	ENSG00000102178	8266	8266	matched
HRD_GENE_POSITIVE	ENSG00000070010	7353	7353	matched
HRD_GENE_POSITIVE	ENSG00000140553	55898	55898	matched
HRD_GENE_POSITIVE	ENSG00000164663	25862	25862	matched
HRD_GENE_POSITIVE	ENSG00000147679	84294	84294	matched
HRD_GENE_POSITIVE	ENSG00000116035	25806	25806	matched
HRD_GENE_POSITIVE	ENSG00000069329	55737	55737	matched
HRD_GENE_POSITIVE	ENSG00000133316	54663	54663	matched
HRD_GENE_POSITIVE	ENSG00000156795	55093	55093	matched
HRD_GENE_POSITIVE	ENSG00000168634	164237	""	not_in_expression_universe
HRD_GENE_POSITIVE	ENSG00000133858	196441	196441	matched
HRD_GENE_POSITIVE	ENSG00000198169	90987	90987	matched
HRD_GENE_POSITIVE	ENSG00000198039	10793	10793	matched
HRD_GENE_POSITIVE	ENSG00000168813	22847	22847	matched
HRD_GENE_POSITIVE	ENSG00000198795	25925	25925	matched
HRD_GENE_POSITIVE	ENSG00000183309	9831	9831	matched
HRD_GENE_NEGATIVE	ENSG00000113812	93973	93973	matched
HRD_GENE_NEGATIVE	ENSG00000135503	91	91	matched
