cancer_type	n_base	r_base	rho_base	MAE_base	bias_base	n_v4	r_v4	rho_v4	MAE_v4	bias_v4	d_r	d_MAE	d_absbias
BRCA	743	0.632327594760089	0.666159535384665	13.1766430320929	4.96129283824449	743	0.612495333774677	0.680421772568383	11.1897257406071	-1.49800976902375	-0.0198322609854118	-1.98691729148582	-3.46328306922074
KICH	65	0.88805065148723	0.561989638946388	2.10209684331034	1.08791464156672	65	0.780586242973033	0.321397480388984	2.11103332747985	-0.958923372833803	-0.107464408514198	0.00893648416951054	-0.128991268732917
THCA	464	-0.0361268146837479	-0.0291922546144903	8.236719461339	8.09134565325947	464	0.0898559178734134	0.104927631070012	2.6703443104929	2.25381439856329	0.125982732557161	-5.5663751508461	-5.83753125469618
UCEC	403	0.758449448381351	0.703088873230411	11.76590631441	6.49179434427919	403	0.762793381432575	0.713942870496249	11.7132281381366	6.7997873443469	0.00434393305122394	-0.0526781762734583	0.307993000067712
